CATEGORY	METHOD	PATH	HANDLER
misc	POST	/api/v1/financial-risk/runs/{id}/execute	execute_run
misc	GET	/api/v1/financial-risk/runs/{id}/results	list_run_results
misc	GET	/api/v1/financial-risk/runs/{id}/rollforwards	list_run_rollforwards
misc	GET	/api/v1/financial-risk/runs/{id}/signals	list_run_signals
misc	GET	/api/v1/financial-risk/runs/{id}/summary	get_run_summary
misc	GET	/api/v1/fixed-assets	get_assets
misc	POST	/api/v1/fixed-assets	create_asset
misc	GET	/api/v1/fixed-assets/asset-classes	get_asset_classes
misc	POST	/api/v1/fixed-assets/asset-classes	create_asset_class
misc	PATCH	/api/v1/fixed-assets/asset-classes/{asset_class_id}	update_asset_class
misc	GET	/api/v1/fixed-assets/register	get_register
misc	GET	/api/v1/fixed-assets/results/{run_id}	get_fixed_assets_results_endpoint
misc	POST	/api/v1/fixed-assets/run	start_fixed_assets_run_endpoint
misc	POST	/api/v1/fixed-assets/run-period-depreciation	run_period_depreciation
misc	GET	/api/v1/fixed-assets/run/{run_id}	get_fixed_assets_run_status_endpoint
misc	GET	/api/v1/fixed-assets/run/{run_id}/assets/{asset_id}	get_fixed_asset_drill_endpoint
misc	GET	/api/v1/fixed-assets/run/{run_id}/depreciation-lines/{line_id}	get_fixed_asset_depreciation_drill_endpoint
misc	GET	/api/v1/fixed-assets/run/{run_id}/disposals/{disposal_id}	get_fixed_asset_disposal_drill_endpoint
misc	GET	/api/v1/fixed-assets/run/{run_id}/impairments/{impairment_id}	get_fixed_asset_impairment_drill_endpoint
misc	GET	/api/v1/fixed-assets/run/{run_id}/journal-entries/{journal_id}	get_fixed_asset_journal_drill_endpoint
misc	GET	/api/v1/fixed-assets/{asset_id}	get_asset
misc	PATCH	/api/v1/fixed-assets/{asset_id}	update_asset
misc	GET	/api/v1/fixed-assets/{asset_id}/depreciation-history	get_depreciation_history
misc	POST	/api/v1/fixed-assets/{asset_id}/depreciation-run	run_asset_depreciation
misc	POST	/api/v1/fixed-assets/{asset_id}/dispose	dispose_asset
misc	POST	/api/v1/fixed-assets/{asset_id}/impairment	post_impairment
misc	GET	/api/v1/fixed-assets/{asset_id}/impairment-history	get_impairment_history
misc	POST	/api/v1/fixed-assets/{asset_id}/revaluation	post_revaluation
misc	GET	/api/v1/fixed-assets/{asset_id}/revaluation-history	get_revaluation_history
misc	GET	/api/v1/forecast	list_runs
misc	POST	/api/v1/forecast	create_run
misc	GET	/api/v1/forecast/{run_id}	get_run
